,experiment_container_id,tld2_name,area,cell_specimen_id,imaging_depth,selectivity_ns,p_sg,p_ns,peak_dff_ns,pref_image_ns,peak_dff_sg,pref_ori_sg,pref_sf_sg,pref_phase_sg
0,511498500,Cux2-CreERT2,VISpm,517394843,275,0.4911186441,7.609728152507959e-05,2.64407299505246e-05,20.1544518584,89,15.2303365326,30,0.32,0.5
1,511498500,Cux2-CreERT2,VISpm,517394850,275,0.3348135593,0.0565790645,0.0003568235,10.3102114159,15,4.8870327886,0,0.32,0.5
2,511498500,Cux2-CreERT2,VISpm,517394858,275,,,,,,,,,
3,511498500,Cux2-CreERT2,VISpm,517394866,275,,,,,,,,,
4,511498500,Cux2-CreERT2,VISpm,517394870,275,0.6207457627,0.0678677602,3.33435385140374e-07,17.7696198944,88,4.0713276697,90,0.02,0.25
5,511498500,Cux2-CreERT2,VISpm,517394874,275,0.4830169492,0.0025396105,5.70361984483495e-08,11.825439942,114,4.0372010671,60,0.08,0.75
6,511498500,Cux2-CreERT2,VISpm,517394878,275,0.5687288136,0.0060754078,8.88843473720871e-09,4.133921198,42,1.8602990072,30,0.32,0.5
7,511498500,Cux2-CreERT2,VISpm,517394882,275,0.3371186441,0.0061608667,0.0301335596,4.5118842345,114,3.2781660901,120,0.32,0.75
8,511498500,Cux2-CreERT2,VISpm,517394886,275,0.1988305085,0.32351498,0.0195118446,2.6349813914,93,1.8566421306,120,0.02,0.75
9,511498500,Cux2-CreERT2,VISpm,517394890,275,0.3358813559,5.1002073664652495e-06,1.1911738842112902e-07,3.5455345318,108,2.7531087608,0,0.04,0.5
10,511498500,Cux2-CreERT2,VISpm,517394898,275,0.093440678,4.3744065380063494e-07,0.0031657428,2.7219277162,43,4.5184754014,120,0.04,0.5
11,511498500,Cux2-CreERT2,VISpm,517394914,275,0.289559322,0.1382298602,0.3042187353,10.6099058158,24,4.9301186715,150,0.08,0.5
12,511498500,Cux2-CreERT2,VISpm,517394919,275,,,,,,,,,
13,511498500,Cux2-CreERT2,VISpm,517394924,275,0.3399661017,0.0002265299,0.4823032814,5.8002139956,99,6.2598429019,120,0.16,0.25
14,511498500,Cux2-CreERT2,VISpm,517394929,275,0.2527118644,0.7435224782,0.4830045294,6.1213274279,65,3.916704053,60,0.32,0.25
15,511498500,Cux2-CreERT2,VISpm,517394934,275,,,,,,,,,
